 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2008.04
              Calc. date   ---> September 12, 2019 
 ==================================================================

 Disk File Name = SRIM Outputs\Hydrogen in  C- C- H- H- H- H

 Ion = Hydrogen [1] , Mass = 1.007276 amu

 Target Density =  1.0630E+00 g/cm3 = 1.1974E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      C      6    016.67    042.81   
      C      6    016.67    042.81   
      H      1    016.67    003.59   
      H      1    016.67    003.59   
      H      1    016.67    003.59   
      H      1    016.67    003.59   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
    1.1 eV    6.618E-03  2.350E-02       1 A         2 A         1 A   
    1.2 eV    6.618E-03  2.433E-02       1 A         2 A         1 A   
    1.3 eV    6.888E-03  2.511E-02       2 A         2 A         1 A   
    1.4 eV    7.148E-03  2.583E-02       2 A         2 A         2 A   
    1.5 eV    7.399E-03  2.652E-02       2 A         2 A         2 A   
    1.6 eV    7.641E-03  2.717E-02       2 A         2 A         2 A   
    1.7 eV    7.876E-03  2.779E-02       2 A         2 A         2 A   
    1.8 eV    8.105E-03  2.838E-02       2 A         2 A         2 A   
      2 eV    8.543E-03  2.947E-02       2 A         3 A         2 A   
   2.25 eV    9.061E-03  3.071E-02       2 A         3 A         2 A   
2.49999 eV    9.552E-03  3.183E-02       3 A         3 A         2 A   
2.74999 eV    1.002E-02  3.286E-02       3 A         3 A         2 A   
2.99999 eV    1.046E-02  3.380E-02       3 A         3 A         2 A   
3.24999 eV    1.089E-02  3.467E-02       3 A         3 A         2 A   
3.49999 eV    1.130E-02  3.547E-02       3 A         4 A         3 A   
3.74999 eV    1.170E-02  3.622E-02       3 A         4 A         3 A   
3.99999 eV    1.208E-02  3.693E-02       3 A         4 A         3 A   
