 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2008.04
              Calc. date   ---> September 12, 2019 
 ==================================================================

 Disk File Name = SRIM Outputs\Hydrogen in Silicon

 Ion = Hydrogen [1] , Mass = 1.007276 amu

 Target Density =  2.3212E+00 g/cm3 = 4.9770E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Si     14    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
    1.1 eV    3.672E-03  1.602E-03       2 A         4 A         3 A   
    1.2 eV    3.672E-03  1.679E-03       2 A         4 A         3 A   
    1.3 eV    3.822E-03  1.752E-03       2 A         4 A         3 A   
    1.4 eV    3.967E-03  1.823E-03       2 A         4 A         3 A   
    1.5 eV    4.106E-03  1.891E-03       2 A         5 A         3 A   
    1.6 eV    4.240E-03  1.956E-03       2 A         5 A         3 A   
    1.7 eV    4.371E-03  2.019E-03       2 A         5 A         3 A   
    1.8 eV    4.498E-03  2.080E-03       2 A         5 A         4 A   
      2 eV    4.741E-03  2.196E-03       3 A         5 A         4 A   
   2.25 eV    5.028E-03  2.332E-03       3 A         6 A         4 A   
2.49999 eV    5.300E-03  2.459E-03       3 A         6 A         4 A   
2.74999 eV    5.559E-03  2.579E-03       3 A         6 A         4 A   
2.99999 eV    5.806E-03  2.692E-03       3 A         7 A         5 A   
3.24999 eV    6.043E-03  2.799E-03       3 A         7 A         5 A   
3.49999 eV    6.272E-03  2.901E-03       3 A         7 A         5 A   
3.74999 eV    6.492E-03  2.998E-03       3 A         7 A         5 A   
3.99999 eV    6.705E-03  3.091E-03       4 A         8 A         5 A   
4.49999 eV    7.111E-03  3.267E-03       4 A         8 A         6 A   
4.99999 eV    7.496E-03  3.430E-03       4 A         8 A         6 A   
